"lat" "long" "year"
"1" 48.8561412121 2.36203257777 2016
"2" 48.8672787031 2.30967720604 2016
"3" 48.8627983655 2.35736073685 2016
"4" 48.8655501276 2.33102268299 2016
"5" 48.8403957045 2.34462919547 2016
"6" 48.8741408726 2.33093735994 2016
"7" 48.8548013524 2.40168612057 2016
"8" 48.8674867678 2.30883237135 2016
"9" 48.8531980612 2.37086506825 2016
"10" 48.8721519602 2.35143144177 2016
"11" 48.8782710975 2.31392753066 2016
"12" 48.8734905208 2.38927797194 2016
"13" 48.8889745102 2.29972776242 2016
"14" 48.8564432068 2.35685092587 2016
"15" 48.8541513378 2.3646306114 2016
"16" 48.839105792 2.30661257477 2016
"17" 48.8851250337 2.29122415761 2016
"18" 48.8592460623 2.29857592106 2016
"19" 48.8308979349 2.31915568935 2016
"20" 48.8780477578 2.32711552897 2016
"21" 48.8603442931 2.3440650589 2016
"22" 48.8847601775 2.31492195037 2016
"23" 48.8873316466 2.34652798986 2016
"24" 48.8672651063 2.33556283232 2016
"25" 48.8714133503 2.35371707427 2016
"26" 48.8683708447 2.34534451123 2016
"27" 48.8890720998 2.33926591934 2016
"28" 48.8698662677 2.36118744374 2016
"29" 48.8675229486 2.36826167899 2016
"30" 48.8553579505 2.37288303192 2016
"31" 48.8333624526 2.32689644361 2016
"32" 48.8514599215 2.34425651794 2016
"33" 48.8831820102 2.37364994645 2016
"34" 48.8433249634 2.34507092861 2016
"35" 48.8459391311 2.32795932258 2016
"36" 48.8707660125 2.30976251831 2016
"37" 48.8520244766 2.32481351793 2016
"38" 48.8907643281 2.34029439184 2016
"39" 48.8643751581 2.33139834285 2016
"40" 48.8971387729 2.33669293627 2016
"41" 48.8535534339 2.36047709502 2016
"42" 48.894469985 2.31538880233 2016
"43" 48.8664534608 2.27976551046 2016
"44" 48.853215799 2.26926701826 2016
"45" 48.8292200343 2.32675265246 2016
"46" 48.8630356425 2.36411130429 2016
"47" 48.8900832708 2.35793924368 2016
"48" 48.8712631828 2.35233758849 2016
"49" 48.8865706511 2.31430518451 2016
"50" 48.8411644661 2.38705600488 2016
"51" 48.8660322891 2.37149585942 2016
"52" 48.8856784119 2.29947348188 2016
"53" 48.8537664517 2.36462072383 2016
"54" 48.8878457264 2.34378455532 2016
"55" 48.8526834598 2.29246752039 2016
"56" 48.8433465996 2.29413892741 2016
"57" 48.8921245218 2.34169426594 2016
"58" 48.8514263048 2.3350436386 2016
"59" 48.881034507 2.34367304348 2016
"60" 48.8314941504 2.32093808434 2016
"61" 48.842483521 2.31243309126 2016
"62" 48.8440345114 2.29650343884 2016
"63" 48.8475139094 2.4107757348 2016
"64" 48.8708916188 2.36031153454 2016
"65" 48.8721613887 2.3792506418 2016
"66" 48.8474732174 2.34733166416 2016
"67" 48.8516672478 2.35794899305 2016
"68" 48.8667882191 2.27406767417 2016
"69" 48.8502449923 2.37528401187 2016
"70" 48.8369296257 2.33306761581 2016
"71" 48.8521829896 2.36237849772 2016
"72" 48.8440357076 2.38756762739 2016
"73" 48.8841865061 2.31572794029 2016
"74" 48.8524732886 2.33353576679 2016
"75" 48.85940349 2.40917980021 2016
"76" 48.8534451012 2.2698533583 2016
"77" 48.8727433421 2.38862255455 2016
"78" 48.8591737482 2.38250949032 2016
"79" 48.8817925503 2.29044091016 2016
"80" 48.8666069559 2.32453766957 2016
"81" 48.8765493797 2.35361843563 2016
"82" 48.8712565102 2.35496395363 2016
"83" 48.8566216831 2.40084299167 2016
"84" 48.8392158554 2.39930199536 2016
"85" 48.8777153233 2.30796036627 2016
"86" 48.8519545569 2.26045026255 2016
"87" 48.8806598052 2.34113639259 2016
"88" 48.8495140998 2.33546504369 2016
"89" 48.8661597993 2.30955692138 2016
"90" 48.8520952688 2.36296931497 2016
"91" 48.8325376496 2.32433249907 2016
"92" 48.8240289387 2.31973482033 2016
"93" 48.8502226145 2.37982620912 2016
"94" 48.8698103262 2.29518253747 2016
"95" 48.8960323032 2.33837299187 2016
"96" 48.8778197244 2.39662165576 2016
"97" 48.8553293975 2.37959700491 2016
"98" 48.8901201649 2.35570246733 2016
"99" 48.8521639883 2.39009138363 2016
"100" 48.843015548 2.40897134231 2016
"101" 48.850080192 2.3354898236 2016
"102" 48.8938914058 2.34741148306 2016
"103" 48.8612992041 2.34290464653 2016
"104" 48.8893423338 2.35429019299 2016
"105" 48.8860240674 2.37163319231 2016
"106" 48.8850440834 2.30417726486 2016
"107" 48.8610622111 2.37112416829 2016
"108" 48.8471104745 2.37843428509 2016
"109" 48.8620915952 2.30514305117 2016
"110" 48.8324590441 2.32275569427 2016
"111" 48.8262838944 2.37389893192 2016
"112" 48.8409611576 2.26022363766 2016
"113" 48.8210192639 2.36111734123 2016
"114" 48.8943056501 2.3458412358 2016
"115" 48.8518727116 2.33892085837 2016
"116" 48.8901137212 2.35941235851 2016
"117" 48.8798196653 2.33527867948 2016
"118" 48.8648192001 2.29081236304 2016
"119" 48.8622978438 2.34072496621 2016
"120" 48.83885539 2.40035339729 2016
"121" 48.8362037735 2.29584520599 2016
"122" 48.8939475847 2.33985270576 2016
"123" 48.8266478566 2.34941264074 2016
"124" 48.8914257459 2.3194150254 2016
"125" 48.8711164397 2.28080829252 2016
"126" 48.8660259686 2.27516686848 2016
"127" 48.8218542273 2.34352291998 2016
"128" 48.8567473148 2.38389067467 2016
"129" 48.8521591451 2.25408672624 2016
"130" 48.8379210842 2.35667554258 2016
"131" 48.8425159682 2.27812323912 2016
"132" 48.8719036387 2.35238249723 2016
"133" 48.8953522852 2.34352187573 2016
